Sale Key,City Key,Customer Key,Bill To Customer Key,Stock Item Key,Invoice Date Key,Delivery Date Key,Salesperson Key,WWI Invoice ID,Description,Package,Quantity,Unit Price,Tax Rate,Total Excluding Tax,Tax Amount,Profit,Total Including Tax,Total Dry Items,Total Chiller Items,Lineage Key
1,69644,0,0,153,01-01-2013,02-01-2013,15,1,Ride on toy sedan car (Black) 1/12 scale,Each,10,230,15,2300,345,850,2645,10,0,11
2,47692,0,0,170,01-01-2013,02-01-2013,6,2,Developer joke mug - old C developers never die (White),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
3,47692,0,0,210,01-01-2013,02-01-2013,6,2,USB food flash drive - chocolate bar,Each,9,32,15,288,43.2,180,331.2,9,0,11
4,68504,105,1,106,01-01-2013,02-01-2013,4,3,Superhero action jacket (Blue) XXL,Each,3,30,15,90,13.5,24,103.5,3,0,11
5,70644,57,1,14,01-01-2013,02-01-2013,19,4,Permanent marker black 5mm nib (Black) 5mm,Each,96,2.7,15,259.2,38.88,96,298.08,96,0,11
6,70644,57,1,90,01-01-2013,02-01-2013,19,4,Furry gorilla with big eyes slippers (Black) S,Each,5,32,15,160,24,120,184,5,0,11
7,70644,57,1,170,01-01-2013,02-01-2013,19,4,Developer joke mug - old C developers never die (White),Each,2,13,15,26,3.9,17,29.9,2,0,11
8,56153,0,0,92,01-01-2013,02-01-2013,11,5,Plush shark slippers (Gray) L,Each,4,32,15,128,19.2,96,147.2,4,0,11
9,56153,0,0,99,01-01-2013,02-01-2013,11,5,Dinosaur battery-powered slippers (Green) XL,Each,3,32,15,96,14.4,70.5,110.4,3,0,11
10,56153,0,0,65,01-01-2013,02-01-2013,11,5,Large sized bubblewrap roll 50m,Each,20,24,15,480,72,220,552,20,0,11
11,50969,0,0,70,01-01-2013,02-01-2013,8,6,Pack of 12 action figures (variety),Packet,4,16,15,64,9.6,42,73.6,4,0,11
12,50969,0,0,180,01-01-2013,02-01-2013,8,6,"Developer joke mug - (hip, hip, array) (White)",Each,6,13,15,78,11.7,51,89.7,6,0,11
13,50969,0,0,94,01-01-2013,02-01-2013,8,6,Plush shark slippers (Gray) S,Each,9,32,15,288,43.2,216,331.2,9,0,11
14,58731,376,202,181,01-01-2013,02-01-2013,6,7,Developer joke mug - inheritance is the OO way to become wealthy (Black),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
15,58731,376,202,36,01-01-2013,02-01-2013,6,7,Shipping carton (Brown) 305x305x305mm,Each,75,3.5,15,262.5,39.38,120,301.88,75,0,11
16,58731,376,202,211,01-01-2013,02-01-2013,6,7,USB food flash drive - banana,Each,6,32,15,192,28.8,120,220.8,6,0,11
17,58731,376,202,88,01-01-2013,02-01-2013,6,7,Furry gorilla with big eyes slippers (Black) L,Each,1,32,15,32,4.8,24,36.8,1,0,11
18,39209,0,0,211,01-01-2013,02-01-2013,4,8,USB food flash drive - banana,Each,4,32,15,128,19.2,80,147.2,4,0,11
19,39209,0,0,188,01-01-2013,02-01-2013,4,8,Developer joke mug - that's a hardware problem (White),Each,9,13,15,117,17.55,76.5,134.55,9,0,11
20,39209,0,0,170,01-01-2013,02-01-2013,4,8,Developer joke mug - old C developers never die (White),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
21,57498,77,1,162,01-01-2013,02-01-2013,4,9,RC toy sedan car with remote control (Black) 1/50 scale,Each,2,25,15,50,7.5,25,57.5,2,0,11
22,57498,77,1,86,01-01-2013,02-01-2013,4,9,Animal with big feet slippers (Brown) S,Each,4,32,15,128,19.2,96,147.2,4,0,11
23,50845,191,1,182,01-01-2013,02-01-2013,9,10,Developer joke mug - inheritance is the OO way to become wealthy (White),Each,5,13,15,65,9.75,42.5,74.75,5,0,11
24,50845,191,1,186,01-01-2013,02-01-2013,9,10,Developer joke mug - fun was unexpected at this time (White),Each,3,13,15,39,5.85,25.5,44.85,3,0,11
25,48409,387,202,175,01-01-2013,02-01-2013,11,11,Developer joke mug - there are 10 types of people in the world (Black),Each,1,13,15,13,1.95,8.5,14.95,1,0,11
26,57489,330,202,158,01-01-2013,02-01-2013,7,12,RC toy sedan car with remote control (Yellow) 1/50 scale,Each,5,25,15,125,18.75,62.5,143.75,5,0,11
27,57489,330,202,176,01-01-2013,02-01-2013,7,12,Developer joke mug - there are 10 types of people in the world (White),Each,8,13,15,104,15.6,68,119.6,8,0,11
